iter	Passed	Remaining
0	62	31187
1	77	19260
2	88	14738
3	101	12575
4	116	11570
5	132	10889
6	144	10201
7	158	9733
8	170	9298
9	181	8898
10	192	8560
11	205	8355
12	217	8154
13	229	7961
14	239	7755
15	251	7609
16	262	7471
17	276	7404
18	287	7286
19	301	7242
20	313	7152
21	325	7078
22	338	7011
23	350	6951
24	365	6941
25	381	6960
26	398	6977
27	411	6942
28	424	6900
29	440	6901
30	453	6858
31	465	6801
32	477	6759
33	489	6707
34	500	6643
35	509	6571
36	520	6517
37	533	6480
38	544	6435
39	557	6409
40	569	6376
41	579	6319
42	591	6287
43	604	6260
44	617	6241
45	630	6224
46	642	6189
47	657	6192
48	669	6162
49	681	6131
50	693	6103
51	704	6073
52	714	6025
53	725	5990
54	737	5967
55	748	5933
56	758	5896
57	771	5881
58	785	5869
59	798	5855
60	811	5840
61	828	5849
62	842	5847
63	854	5818
64	862	5774
65	874	5750
66	887	5734
67	901	5726
68	911	5695
69	923	5671
70	935	5651
71	947	5633
72	959	5612
73	973	5606
74	988	5599
75	1000	5582
76	1019	5598
77	1039	5623
78	1053	5614
79	1065	5595
80	1075	5561
81	1088	5547
82	1096	5508
83	1107	5484
84	1121	5474
85	1131	5445
86	1144	5431
87	1154	5404
88	1165	5381
89	1178	5367
90	1190	5349
91	1202	5332
92	1212	5305
93	1223	5284
94	1234	5262
95	1245	5242
96	1256	5219
97	1265	5192
98	1276	5170
99	1287	5149
100	1298	5129
101	1309	5110
102	1322	5098
103	1333	5075
104	1343	5052
105	1355	5037
106	1366	5019
107	1377	5000
108	1390	4986
109	1402	4973
110	1415	4961
111	1427	4943
112	1439	4929
113	1450	4910
114	1462	4897
115	1474	4882
116	1487	4870
117	1501	4860
118	1513	4844
119	1524	4827
120	1537	4817
121	1548	4799
122	1559	4780
123	1571	4764
124	1583	4749
125	1595	4734
126	1608	4723
127	1619	4707
128	1630	4689
129	1642	4675
130	1655	4663
131	1670	4656
132	1683	4644
133	1694	4628
134	1708	4620
135	1721	4608
136	1732	4591
137	1743	4573
138	1754	4556
139	1766	4541
140	1780	4532
141	1793	4522
142	1804	4506
143	1815	4488
144	1826	4472
145	1839	4461
146	1851	4445
147	1863	4431
148	1873	4412
149	1885	4399
150	1899	4389
151	1910	4373
152	1920	4356
153	1933	4343
154	1946	4333
155	1965	4334
156	1981	4328
157	1992	4313
158	2004	4297
159	2014	4280
160	2026	4266
161	2038	4253
162	2048	4236
163	2059	4218
164	2069	4201
165	2081	4187
166	2092	4171
167	2104	4158
168	2117	4146
169	2129	4134
170	2139	4117
171	2151	4101
172	2158	4080
173	2168	4062
174	2180	4048
175	2191	4033
176	2203	4020
177	2214	4005
178	2228	3996
179	2240	3982
180	2250	3966
181	2260	3949
182	2273	3938
183	2286	3926
184	2296	3909
185	2309	3899
186	2321	3885
187	2334	3873
188	2346	3861
189	2358	3848
190	2369	3833
191	2380	3818
192	2392	3806
193	2405	3793
194	2416	3780
195	2429	3767
196	2441	3755
197	2451	3738
198	2462	3724
199	2473	3709
200	2485	3697
201	2496	3683
202	2509	3671
203	2520	3656
204	2533	3645
205	2544	3631
206	2557	3620
207	2570	3609
208	2584	3597
209	2595	3584
210	2606	3570
211	2620	3559
212	2630	3544
213	2642	3531
214	2651	3514
215	2661	3499
216	2672	3485
217	2684	3472
218	2696	3459
219	2707	3446
220	2721	3435
221	2733	3422
222	2746	3411
223	2758	3398
224	2772	3388
225	2786	3378
226	2799	3366
227	2812	3355
228	2827	3345
229	2844	3339
230	2857	3327
231	2870	3315
232	2882	3302
233	2894	3290
234	2906	3277
235	2917	3263
236	2926	3247
237	2939	3235
238	2949	3220
239	2962	3209
240	2972	3194
241	2984	3182
242	2995	3168
243	3005	3153
244	3016	3139
245	3028	3127
246	3040	3114
247	3051	3101
248	3063	3088
249	3076	3076
250	3091	3066
251	3104	3055
252	3115	3041
253	3126	3028
254	3138	3015
255	3150	3003
256	3160	2988
257	3175	2978
258	3185	2964
259	3197	2951
260	3210	2939
261	3222	2927
262	3230	2911
263	3241	2897
264	3250	2882
265	3263	2870
266	3272	2855
267	3283	2842
268	3294	2829
269	3308	2818
270	3322	2807
271	3332	2793
272	3344	2781
273	3357	2769
274	3370	2757
275	3379	2743
276	3389	2728
277	3401	2716
278	3411	2702
279	3421	2688
280	3432	2675
281	3442	2661
282	3455	2649
283	3467	2637
284	3479	2624
285	3490	2612
286	3502	2599
287	3511	2585
288	3522	2572
289	3534	2559
290	3546	2546
291	3561	2537
292	3576	2526
293	3592	2517
294	3605	2505
295	3618	2493
296	3629	2480
297	3641	2468
298	3651	2454
299	3660	2440
300	3672	2428
301	3686	2416
302	3699	2405
303	3711	2393
304	3720	2378
305	3731	2366
306	3744	2354
307	3757	2342
308	3769	2329
309	3783	2319
310	3797	2307
311	3807	2294
312	3816	2280
313	3828	2267
314	3839	2254
315	3848	2240
316	3860	2228
317	3872	2216
318	3882	2203
319	3894	2190
320	3906	2178
321	3916	2165
322	3928	2152
323	3937	2138
324	3947	2125
325	3957	2112
326	3966	2098
327	3979	2086
328	3991	2074
329	4004	2062
330	4014	2049
331	4025	2037
332	4040	2026
333	4053	2014
334	4064	2001
335	4075	1989
336	4087	1976
337	4099	1964
338	4109	1951
339	4123	1940
340	4137	1929
341	4150	1917
342	4163	1905
343	4174	1893
344	4188	1881
345	4201	1869
346	4210	1856
347	4221	1843
348	4233	1831
349	4243	1818
350	4257	1807
351	4271	1796
352	4289	1786
353	4300	1773
354	4312	1761
355	4323	1748
356	4336	1736
357	4347	1724
358	4359	1712
359	4370	1699
360	4380	1686
361	4392	1674
362	4401	1661
363	4412	1648
364	4422	1635
365	4434	1623
366	4447	1611
367	4459	1599
368	4470	1587
369	4484	1575
370	4498	1564
371	4509	1551
372	4528	1541
373	4543	1530
374	4561	1520
375	4575	1509
376	4587	1496
377	4598	1484
378	4611	1472
379	4623	1459
380	4633	1447
381	4644	1434
382	4656	1422
383	4668	1410
384	4681	1398
385	4693	1386
386	4705	1373
387	4717	1361
388	4729	1349
389	4740	1337
390	4753	1325
391	4766	1313
392	4777	1300
393	4789	1288
394	4800	1276
395	4813	1264
396	4826	1252
397	4841	1240
398	4857	1229
399	4878	1219
400	4892	1207
401	4904	1195
402	4917	1183
403	4929	1171
404	4941	1159
405	4949	1145
406	4959	1133
407	4974	1121
408	4988	1109
409	5000	1097
410	5011	1085
411	5023	1072
412	5036	1060
413	5047	1048
414	5058	1036
415	5070	1023
416	5080	1011
417	5095	999
418	5108	987
419	5129	976
420	5146	965
421	5159	953
422	5172	941
423	5185	929
424	5198	917
425	5215	906
426	5231	894
427	5245	882
428	5257	870
429	5268	857
430	5279	845
431	5291	832
432	5303	820
433	5317	808
434	5328	796
435	5344	784
436	5362	773
437	5375	760
438	5388	748
439	5400	736
440	5414	724
441	5425	711
442	5435	699
443	5448	687
444	5460	674
445	5476	663
446	5491	651
447	5504	638
448	5520	627
449	5537	615
450	5558	603
451	5571	591
452	5586	579
453	5600	567
454	5614	555
455	5623	542
456	5634	530
457	5645	517
458	5656	505
459	5667	492
460	5681	480
461	5695	468
462	5706	456
463	5719	443
464	5732	431
465	5741	418
466	5753	406
467	5765	394
468	5776	381
469	5792	369
470	5805	357
471	5818	345
472	5831	332
473	5844	320
474	5857	308
475	5868	295
476	5881	283
477	5892	271
478	5904	258
479	5918	246
480	5929	234
481	5940	221
482	5953	209
483	5966	197
484	5977	184
485	5989	172
486	6003	160
487	6020	148
488	6035	135
489	6051	123
490	6068	111
491	6084	98
492	6101	86
493	6118	74
494	6134	61
495	6148	49
496	6161	37
497	6175	24
498	6186	12
499	6198	0
